FCC,Other ID,RA [deg],DEC [deg],spectra,survey/telescope,ALMA,MUSE
FCC 230,LEDA 74859,55.0053,-34.7581,no,,no,no
FCC 235,NGC 1427A,55.0375,-35.62444,no,,yes,yes
FCC 241,LSBG F358-037,55.098,-35.2766,no,,no,no
FCC 243,LEDA 74873,55.1126,-36.4989,no,,no,no
FCC 244,LSBG F358-036,55.1278,-35.8779,no,,no,no
FCC 245,NGFS J034034-350122,55.141,-35.0229,no,,no,yes
FCC 247,LSBG F358-034,55.1763,-35.661,no,,no,no
FCC 249,NGC 1419,55.175,-37.510833,yes,6dF,yes,yes
FCC 252,LEDA 74893,55.2101,-35.7484,no,,no,no
FCC 253,LSBG F302-017,55.2303,-37.8376,no,,no,no
FCC 254,LSBG F358-033,55.2533,-35.7425,no,,no,no
FCC 255,ESO 358- 50,55.265,-33.7791,yes,6dF,no,yes
FCC 259,LEDA 74905,55.2805,-35.5144,no,,no,no
FCC 260,LEDA 13560,55.3036,-35.1587,no,,no,no
FCC 261,LEDA 74911,55.3383,-33.7694,no,,yes,yes
FCC 263,ESO 358-51,55.3856,-34.8888,yes,6dF,yes,yes
FCC 264,LEDA 74915,55.3823,-35.5896,no,,no,no
FCC 266,LEDA 74917,55.4222,-35.1703,no,,no,no
FCC 267,LEDA 74919,55.4392,-33.7915,yes,6dF,no,no
FCC 272,LEDA 74930,55.545833,-35.443055,no,,no,no
FCC 274,LEDA 74933,55.570833,-35.540833,no,,no,no
FCC 276,NGC 1427,55.579166,-35.39277,no,,yes,yes
FCC 277,NGC 1428,55.595833,-35.153611,no,,no,yes
FCC 278,LEDA 74936,55.6125,-33.870833,no,,no,no
FCC 282,LEDA 13635,55.6898,-33.9201,no,,yes,yes
FCC 285,NGC 1437A,55.75833,-36.27333,no,,yes,yes
FCC 286,LSBG F358-026,55.803,-34.6432,no,,no,no
FCC 288,ESO 358-56,55.8444,-33.9388,yes,6dF,no,no
FCC 290,NGC 1436,55.904166,-35.853611,yes,6dF,yes,yes
FCC 296,LEDA 74968,56.1368,-35.1959,no,,no,no
FCC 298,LEDA 74970,56.1851,-35.6837,no,,no,no
FCC 299,LEDA 74972,56.2442,-36.8949,no,,no,no
FCC 301,ESO 358-59,56.2649,-35.9727,yes,6dF,no,yes
FCC 302,ESO 358- 60,56.3012,-35.5709,no,,yes,yes
FCC 303,LEDA 13758,56.3087,-36.9367,no,,no,no
FCC 305,FLSBG 305,56.3906667,-37.0832222,no,,no,no
FCC 306,LEDA 13785,56.4391,-36.3461,no,,yes,yes
FCC 308,NGC 1437B,56.479166,-36.356944,yes,6dF,yes,yes
FCC 310,NGC 1460,56.55833,-36.69666,yes,6dF,no,yes
FCC 312,ESO 358-63,56.579166,-34.94361,yes,6dF,yes,yes
FCC 313,LEDA 74990,56.6391,-34.6862,no,,no,no
FCC 315,IC 1993,56.770833,-33.70944,yes,6dF,yes,no
FCC 316,LSBG F359-072,56.756333,-36.437472,no,,yes,no
FCC 319,ESO 419- 7,56.8178,-32.3022,no,,no,no
FCC 322,ESO 302-9,56.8906,-38.5771,yes,6dF,yes,no
FCC 324,ESO 358-66,56.9694542,-36.4716861,no,,no,no
FCC 332,LEDA 13930,57.4542,-35.9457,no,,yes,yes
FCC 335,ESO 359-2,57.653,-35.9094,yes,6dF,yes,yes
FCC 336,LEDA 75013,57.7191667,-35.1719444,no,,no,no
FCC 338,ESO 359-3,58.004166,-33.4675,yes,6dF,yes,no
FCCB 35,LEDA 616781,49.3770833,-37.8436111,yes,6dF,no,no
FCCB 112,,50.65833,-37.31333,no,,no,no
FCCB 144,PGC 659624,50.79166,-34.633055,no,,no,no
FCCB 446,LEDA 627633,51.788208,-37.152806,yes,6dF,no,no
FCCB 470,LEDA 645417,51.89166,-35.71777,no,,no,no
FCCB 692,LEDA 648552,52.750625,-35.469194,yes,6dF,no,no
FCCB 729,ESO 301-18,52.8865458,-38.0612361,no,,no,no
FCCB 731,AM 0329-324,52.923875,-32.567556,yes,6dF,no,no
FCCB 904,FLSBG 047,53.4841,-34.5618,no,,no,no
FCCB 905,PGC 659931,53.4889,-34.612,no,,no,no
FCCB 934,LEDA 4663120,53.5851,-33.4281,no,,no,no
FCCB 951,PGC 647413,53.657042,-35.560028,yes,6dF,no,no
FCCB 1005,ESO 358-22,53.83333,-32.60222,yes,6dF,no,no
